	African-lungfish	American-lungfish	Australian-lungfish	armadillo	chicken	coelacanth	dog	elephant	frog	gar	human	kangaroo	lizard	mouse	opossum	platypus	pufferfish	shark	tilapia	turkey	turtle	zebrafinch	zebrafish
African-lungfish	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
American-lungfish	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
Australian-lungfish	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
armadillo	18	18	18	18	17	18	16	18	18	18	17	17	17	18	17	14	16	18	15	17	17	13	14
chicken	20	20	20	17	20	20	18	20	20	20	19	19	19	20	19	16	17	20	16	19	19	15	15
coelacanth	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
dog	19	19	19	16	18	19	19	19	19	19	19	18	18	19	18	15	17	19	15	18	18	14	14
elephant	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
frog	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
gar	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
human	20	20	20	17	19	20	19	20	20	20	20	19	19	20	19	16	18	20	16	19	19	15	15
kangaroo	20	20	20	17	19	20	18	20	20	20	19	20	19	20	19	16	17	20	16	19	19	15	15
lizard	20	20	20	17	19	20	18	20	20	20	19	19	20	20	20	17	17	20	16	19	19	15	15
mouse	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
opossum	20	20	20	17	19	20	18	20	20	20	19	19	20	20	20	17	17	20	16	19	19	15	15
platypus	17	17	17	14	16	17	15	17	17	17	16	16	17	17	17	17	14	17	13	16	17	13	12
pufferfish	18	18	18	16	17	18	17	18	18	18	18	17	17	18	17	14	18	18	16	17	17	13	13
shark	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
tilapia	17	17	17	15	16	17	15	17	17	17	16	16	16	17	16	13	16	17	17	16	16	12	14
turkey	20	20	20	17	19	20	18	20	20	20	19	19	19	20	19	16	17	20	16	20	19	15	16
turtle	20	20	20	17	19	20	18	20	20	20	19	19	19	20	19	17	17	20	16	19	20	15	15
zebrafinch	16	16	16	13	15	16	14	16	16	16	15	15	15	16	15	13	13	16	12	15	15	16	12
zebrafish	16	16	16	14	15	16	14	16	16	16	15	15	15	16	15	12	13	16	14	16	15	12	16
