	African-lungfish	American-lungfish	Australian-lungfish	armadillo	chicken	coelacanth	dog	elephant	frog	gar	human	kangaroo	lizard	mouse	opossum	platypus	pufferfish	shark	tilapia	turkey	turtle	zebrafinch	zebrafish
Number of genes	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
Number of genes in orthogroups	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
Number of unassigned genes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in orthogroups	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Percentage of unassigned genes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Number of orthogroups containing species	21	21	21	18	20	21	19	21	21	21	20	20	20	21	20	17	18	21	17	20	20	16	16
Percentage of orthogroups containing species	100.0	100.0	100.0	85.7	95.2	100.0	90.5	100.0	100.0	100.0	95.2	95.2	95.2	100.0	95.2	81.0	85.7	100.0	81.0	95.2	95.2	76.2	76.2
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


